,second,x_move,y_move,z_move,heart_rate,step_count,psg_status
0,150,-0.644287,0.148071,-0.779541,68,3.07,0
1,151,-0.526846382,0.149022545,-0.750050836,68,367.6743636,0
2,152,0.09739624,-0.2024469,-1.00445492,68,439.01,0
3,153,0.397575275,0.051838294,-0.894276078,68.84313725,439.01,0
4,154,-0.112778353,0.644496549,-0.722835216,69,439.01,0
5,155,-0.39026032,0.5299695,-0.6999511,69,439.01,0
6,156,0.40799102,-0.180344529,-0.806018,69,439.01,0
7,157,0.46622654,-0.591113,-0.45156064,69,439.01,0
8,158,0.3945233,0.13865634,-0.7505628,69,439.01,0
9,159,0.54307944,0.557721,-0.68468962,69,439.01,0
10,160,0.5610153,0.49817718,-0.6702127,69,439.01,0
11,161,0.164999216,0.633147294,-0.620218706,69,439.01,0
12,162,0.18329302,0.522795353,-0.834262627,69,439.01,0
13,163,0.30557588,0.82677302,-0.54950458,69,439.01,0
14,164,0.290357915,0.575094936,-0.72428083,69,439.01,0
15,165,0.210151882,0.693281255,-0.638995588,69,439.01,0
16,166,0.374152151,0.779279547,-0.205645264,69,247.1639623,0
17,167,0.180340059,0.861166216,0.470886745,69,227.18,0
18,168,-0.034936627,0.893478078,0.435966333,69,227.18,0
19,169,-0.048040039,0.867150098,0.507830098,69,227.18,0
20,170,-0.063279706,0.840381353,0.526775569,69,227.18,0
21,171,-0.082844894,0.849615532,0.519825766,69,227.18,0
22,172,-0.084323294,0.85034,0.517616196,69.84313725,227.18,0
23,173,0.01821636,0.69146246,-0.10349734,70,227.18,0
24,174,0.19361664,0.71687498,-0.4686602,70,227.18,0
25,175,0.00219208,0.971752,0.05575564,70,227.18,0
26,176,0.0795938,0.92627382,0.01435394,70,227.18,0
27,177,0.08689668,0.95069144,0.2405764,70,227.18,0
28,178,0.23578244,0.99704962,-0.10649262,70,227.18,0
29,179,0.203922314,0.560221353,-0.511698961,70,227.18,0
30,180,0.201136294,0.587796941,-0.771738078,70,227.18,0
31,181,0.108851412,0.797540667,-0.588537686,70,99.80509804,0
32,182,0.23383578,0.27885586,-0.86356138,70,85.96,0
33,183,0.28360866,0.31617132,-0.95022584,70,85.96,0
34,184,0.22456786,0.14125948,-0.87325134,70,85.96,0
35,185,0.07725286,0.33891792,-0.90729098,70,85.96,0
36,186,0.08028748,0.38770724,-0.88704714,70,85.96,0
37,187,0.18200476,0.31540076,-0.93075414,70,85.96,0
38,188,0.083466745,0.250960196,-0.962347902,70,85.96,0
39,189,0.09090458,0.2444447,-0.96521336,70,85.96,0
40,190,0.09324706,0.24347466,-0.96508672,70,85.96,0
41,191,0.09189786,0.24137782,-0.96569546,70,85.96,0
42,192,0.09182224,0.24063782,-0.96598272,70,85.96,0
43,193,0.09208,0.24039006,-0.96620382,70,85.96,0
44,194,0.09274686,0.24088224,-0.9660181,70,85.96,0
45,195,0.093647627,0.241490471,-0.965543863,75.90196078,85.96,0
46,196,0.092602,0.240606423,-0.965484038,77,9.918461538,0
47,197,0.09196802,0.24000184,-0.96548224,77,0,0
48,198,0.09253932,0.24011928,-0.96566366,77,0,0
49,199,0.093554549,0.240564412,-0.965719176,77,0,0
50,200,0.09287926,0.24135132,-0.96528076,77,0,0
51,201,0.09206048,0.23970648,-0.9657516,77,0,0
52,202,0.09234488,0.23928472,-0.96572776,77,0,0
53,203,0.09344044,0.2398315,-0.96479942,77,0,0
54,204,0.092759577,0.239632192,-0.96446575,76.17307692,0,0
55,205,0.0920992,0.23851014,-0.96557864,76,0,0
56,206,0.071106549,0.217949608,-0.972492922,76,0,0
57,207,0.07062132,0.2194089,-0.9728922,76,0,0
58,208,0.07432066,0.22326448,-0.9710233,76,0,0
59,209,0.07543494,0.18717526,-0.9784918,76,0,0
60,210,0.073445098,0.190601667,-0.978251157,76,0,0
61,211,0.072119333,0.183791235,-0.979687804,76,0,0
62,212,0.061492654,0.193899885,-0.977292846,76,0,0
63,213,0.0533688,0.19987736,-0.97749936,76,0,0
64,214,0.07966892,0.1882724,-0.97782138,76,0,0
65,215,0.0889402,0.1818881,-0.9778644,76,0,0
66,216,0.08858554,0.1786736,-0.97820702,76,0,0
67,217,0.08919434,0.17871086,-0.97832092,76,0,0
68,218,0.09085426,0.17975428,-0.97818114,76,0,0
69,219,0.08979374,0.1788205,-0.97819036,76,0,0
70,220,0.089280353,0.178152647,-0.978493196,76,0,0
71,221,0.0905005,0.17918536,-0.97813108,76,0,0
72,222,0.090569608,0.179011843,-0.978328922,75.15686275,0,0
73,223,0.08987402,0.17821222,-0.97828524,75,0,0
74,224,0.0899253,0.17821802,-0.97868376,75,0,0
75,225,0.09151434,0.17939424,-0.97791202,75,0,0
76,226,0.090456538,0.178464962,-0.978696115,73.34615385,0,0
77,227,0.089672,0.17779566,-0.97878936,73,0,0
78,228,0.09099598,0.178787431,-0.978669392,72.15686275,0,0
79,229,0.091033078,0.179414941,-0.978576882,72,0,0
80,230,0.09051662,0.17813748,-0.97888362,72,0,0
81,231,0.09007484,0.17800074,-0.97887632,72,0,0
82,232,0.09161444,0.17926942,-0.97867032,72,0,0
83,233,0.091297235,0.179199471,-0.979012588,72,0,0
84,234,0.09043918,0.1777655,-0.97881472,72,0,0
85,235,0.09020166,0.17808038,-0.97878754,72,0,0
86,236,0.0917185,0.17963896,-0.97797062,72,0,0
87,237,0.0907773,0.1789602,-0.97805964,72,0,0
88,238,0.090738481,0.178168596,-0.9779815,72,0,0
89,239,0.09125926,0.17892914,-0.97824158,72,0,0
90,240,0.091956706,0.179494784,-0.978074882,72,0,0
